country,cases,deaths,latitude,longitude
Andorra,4,0,42.546250,1.601554
Argentina,1149,2,-38.416097,-63.616672
Aruba,3,0,12.521110,-69.968340
Australia,334,0,-25.274400,133.775100
Austria,348,1,47.516230,14.550070
Bahamas,3,0,25.034280,-77.396280
Bahrain,2,0,25.930410,50.637770
Barbados,1,0,13.193890,-59.543200
Belgium,810,2,50.503890,4.469936
Benin,3,0,9.307690,2.315834
Bermuda,1,0,32.321380,-64.757370
Bolivia,265,0,-16.290150,-63.588650
Bosnia and Herzegovina,9,0,43.915890,17.679080
Brazil,11212,16,-14.235000,-51.925280
Bulgaria,7,0,42.733880,25.485830
Burundi,9,0,-3.373056,29.918890
Cambodia,13,0,12.565680,104.991000
Cameroon,50,5,7.369722,12.354720
Canada,1557,0,56.130370,-106.346800
Central African Republic,75,1,6.611111,20.939440
Chile,1449,3,-35.675150,-71.542970
China,1931,0,35.861660,104.195400
Colombia,4249,0,4.570868,-74.297330
Costa Rica,225,0,9.748917,-83.753430
Croatia,34,0,45.100000,15.200000
Cuba,8,1,21.521760,-77.781170
Curacao,3,0,12.169600,68.990000
Cyprus,5,0,35.126410,33.429860
Czechia,82,1,49.817492,15.472962
Democratic Republic of the Congo,3104,10,-4.038333,21.758660
Denmark,198,0,56.263920,9.501785
Dominican Republic,52,0,18.735690,-70.162650
Ecuador,557,3,-1.831239,-78.183410
Egypt,3,0,26.820550,30.802500
El Salvador,104,0,13.794190,-88.896530
Estonia,11,0,58.595270,25.013610
Finland,43,0,61.924110,25.748150
France,4272,0,46.227640,2.213749
Georgia,2,0,42.315410,43.356890
Germany,3857,0,51.165690,10.451530
Ghana,127,4,7.946527,-1.023194
Gibraltar,6,0,36.137740,-5.345374
Greece,99,0,39.074210,21.824310
Greenland,2,0,71.706940,-42.604300
Guadeloupe,1,0,16.995970,-62.067640
Guatemala,405,1,15.783470,-90.230760
Guyana,2,0,4.860416,-58.930180
Honduras,44,0,15.200000,-86.241910
Hong Kong,84,0,22.396430,114.109500
Hungary,85,0,47.162490,19.503300
Iceland,17,0,64.963050,-19.020840
India,27,1,20.593680,78.962880
Indonesia,88,0,-0.789275,113.921300
Iran,1,0,32.427910,53.688050
Ireland,249,0,53.412910,-8.243890
Israel,314,0,31.046050,34.851610
Italy,1049,0,41.871940,12.567380
Jamaica,21,0,18.109580,-77.297510
Japan,247,1,36.204820,138.252900
Jordan,1,0,30.585160,36.238410
Kenya,1,0,-0.023559,37.906190
Laos,1,0,19.856270,102.495500
Latvia,6,0,56.879640,24.603190
Lebanon,27,0,33.854720,35.862290
Liberia,23,0,6.428055,-9.429499
Lithuania,5,0,55.169440,23.881280
Luxembourg,61,0,49.815270,6.129583
Macau,2,0,22.198750,113.543900
Malaysia,9,0,4.210484,101.975800
Malta,35,0,35.937500,14.375420
Martinique,7,0,14.641530,-61.024170
Mexico,4124,34,23.634500,-102.552800
Moldova,2,0,47.411630,28.369890
Monaco,3,0,43.750300,7.412841
Montenegro,2,0,42.708680,19.374390
Morocco,3,0,31.791700,-7.092620
Mozambique,1,1,-18.665700,35.529560
Nepal,1,0,28.394860,84.124010
Netherlands,1304,0,52.132630,5.291266
New Caledonia,1,0,-20.904310,165.618000
New Zealand,53,0,-40.900560,174.886000
Nigeria,898,9,9.081999,8.675277
Norway,106,0,60.472020,8.468946
Oman,3,0,21.512580,55.923260
Pakistan,7,0,30.375320,69.345120
Panama,239,1,8.537981,-80.782130
Paraguay,126,0,-23.442500,-58.443830
Peru,3875,20,-9.189967,-75.015150
Philippines,9,0,12.879720,121.774000
Poland,223,0,51.919440,19.145140
Portugal,1193,3,39.399870,-8.224454
Qatar,5,0,25.354830,51.183880
Republic of the Congo,45,2,-0.228021,15.827660
Romania,47,0,45.943160,24.966760
Russia,4,0,61.524010,105.318800
Rwanda,4,0,-1.940278,29.873890
Saint Martin,1,0,18.070800,63.050100
San Marino,1,0,43.942360,12.457780
Saudi Arabia,8,0,23.885940,45.079160
Serbia,40,0,44.016520,21.005860
Singapore,61,0,1.352083,103.819800
Slovakia,16,0,48.669030,19.699020
Slovenia,47,0,46.151240,14.995460
South Africa,27,3,-30.559480,22.937510
South Korea,161,0,35.907760,127.766900
Spain,8084,3,40.463670,-3.749220
Sri Lanka,4,0,7.873054,80.771800
Sudan,19,1,12.862810,30.217640
Sweden,299,0,60.128160,18.643500
Switzerland,579,0,46.818190,8.227512
Taiwan,340,0,23.697810,120.960500
Thailand,805,10,15.870030,100.992500
Trinidad & Tobago,3,0,10.691803,-61.222503
Turkey,12,0,38.963750,35.243320
Uganda,2,0,1.373333,32.290280
Ukraine,5,0,48.379430,31.165580
United Arab Emirates,16,0,23.424080,53.847820
United Kingdom,3952,0,55.378050,-3.435973
United States,33435,60,37.090240,-95.712890
Uruguay,19,0,-32.522780,-55.765840
Venezuela,12,0,6.423750,-66.589730
Vietnam,202,8,14.058320,108.277200